"date","guess1","guess2","guess3","guess4","solution","result","myskill_avg","myluck_avg","avg","botresult","bguess1","bguess2","bguess3","bguess4",,"junk"
"10/23/2023","slate","thief","trend","tempt","tempo",5,"89/81","36/58",3.8,4,"slate","tenet","tepid","tempo",,
"10/22/2023","slate","round","vixen","given","given",4,"89/82","42/49",4.2,3,"slate","diner","given",,,
"10/21/2023","slate","crony","shirk","smirk","smirk",4,"91/85","43/56",3.9,4,"slate","churn","sword","smirk",,
"10/20/2023","adios","churn","occur",,"occur",3,"93/83","62/52",4,3,"slate","crony","occur",,,
"10/19/2023","stale","salty","splat",,"splat",3,"99/78","61/71",3.5,2,"slate","splate",,,,
"10/18/2023","stare","green","peril","mercy","mercy",4,"80/81","47/51",4.1,4,"slate","diner","emery","mercy",,
"10/17/2023","crane","adios","adult",,"adult",3,"88/83","56/65",3.6,3,"slate","taint","adult",,,
"10/16/2023","stare","grind","graph",,"graph",3,"94/81","61/56",4,3,"slate","churn","graph",,,
"10/15/2023","least","learn","leafy","leaky","leaky",4,"82/82","65/63",4.2,3,"slate","leafy","leaky",,,
"10/13/2023","stare","clung",,,"uncle",3,"92/81","66/62",3.7,3,"slate","bingo","uncle",,,
"10/12/2023","strep","unite",,,"knelt",4,"92/80","53/56",4,3,"slate","intel","knelt",,,
"10/11/2023","clear","sound",,,"skunk",4,"84/84","51/45",4.2,4,"slate","churn","prong","skunk",,
"10/10/2023","least","snail",,,"snail",2,"79/84","91/67",3.4,3,"slate","hilly","snail",,,
"10/9/2023","stare","trout",,,"truth",3,"96/85","73/61",3.6,3,"slate","rhino","truth",,,
"10/8/2023","slate","round",,,"binge",3,"86/83","46/49",4.1,3,"slate","groin","binge",,,
"10/7/2023","stare","adios",,,"viola",3,"82/82","56/53",4.1,4,"slate","molar","aioli","viola",,
"10/6/2023","aisle","quite",,,"chime",4,"83/84","58/57",3.5,3,"slate","groin","chime",,,
"10/4/2023","stern","nodal",,,"bunch",6,"87/81","29/46",4.4,4,"slate","crony","blimp","bunch",,
"10/3/2023","stern","mouth",,,"spurt",3,"99/85","72/64",3.5,3,"slate","pinot","spurt",,,
"10/3/2023","slice","while",,,"while",2,"57/80","91/58",3.7,4,"slate","bingo","exile","while",,
"10/2/2023","slope","cairn",,,"merry",5,"93/82","35/47",4.4,4,"slate","diner","emery","merry",,
"10/1/2023","least","remit",,,"beret",3,"85/83","80/54",4,3,"slate","tenet","beret",,,
"9/30/2023","stare","align",,,"daddy",6,"71/80","30/39",4.9,4,"slate","corny","budge","daddy",,
"9/28/2023","slate","ranch",,,"azure",4,"79/78","59/58",4.2,4,"slate","cairn","adore","azure",,
"9/27/2023","slate","round",,,"coach",4,"93/85","42/57",3.7,3,"slate","churn","coach",,,
"9/26/2023","aisle","smile",,,"smile",2,"99/84","99/66",3.4,2,"slate","smile",,,,
"9/25/2023","aisle","talon",,,"loyal",4,"94/83","46/52",4.1,4,"slate","molar","local","loyal",,
"9/24/2023","slate","round",,,"rocky",4,"99/85","38/53",3.7,3,"slate","crony","rocky",,,
"9/23/2023","cairn","riser",,,"right",3,"91/82","67/61",3.6,4,"slate","count","drift","right",,
"9/23/2023","trend","slurp",,,"carol",5,"81/82","39/59",3.8,3,"slate","molar","carol",,,
"9/22/2023","adios","reset",,,"brush",4,"86/85","53/59",3.6,3,"slate","croup","brush",,,
"9/21/2023","stare","style",,,"stone",5,"93/81","45/68",3.3,3,"slate","raven","stone",,,
"9/20/2023","poise","slant",,,"snare",4,"96/83","52/63",4,3,"slate","parch","snare",,,
"9/19/2023","aisle","louse",,,"close",3,"99/86","68/72",3.1,2,"slate","close",,,,
"9/18/2023","crane","grand",,,"frank",3,"98/85","65/48",4.4,4,"slate","churn","grand","frank",,
"9/17/2023","aisle","posit",,,"music",3,"99/83","67/61",3.6,3,"slate","croup","music",,,
"9/16/2023","slant","renal",,,"angel",4,"96/81","54/60",3.8,3,"slate","rangy","angel",,,
"9/15/2023","aisle","credo",,,"exert",3,"85/81","57/51",4.3,3,"slate","tenet","exert",,,
"9/14/2023","aisle","ranty",,,"rayon",3,"93/83","54/53",4.1,3,"slate","corny","rayon",,,
"9/13/2023","slant","cheap",,,"clear",4,"83/82","64/68",3.3,3,"slate","caned","clear",,,
"9/12/2023","slant","rouse",,,"whisk",3,"99/83","50/57",3.8,3,"slate","croup","whisk",,,
"9/11/2023","slant","ficus",,,"older",4,"81/81","51/59",4,3,"slate","defer","older",,,
"9/10/2023","slope","ranty",,,"quote",3,"83/82","74/63",3.5,3,"slate","turbo","quote",,,
"9/9/2023","stair","ounce",,,"lucky",3,"91/84","54/52",3.7,4,"slate","dilly","loopy",,,
"9/8/2023","stain","rouse",,,"rouse",2,"97/82","76/64",3.7,3,"slate","rough",,,,
"9/7/2023","stare","blend",,,"dwell",3,"92/80","58/51",4.2,5,"slate","riven","hello","quell",,
"9/6/2023","stair","mouse",,,"gnash",5,"85/76","34/58",4.3,4,"slate","curbs","awash",,,
"9/5/2023","spare","round",,,"birch",5,"66/85","42/57",3.6,3,"slate","crony",,,,
"9/4/2023","adieu","solid",,,"giddy",4,"88/81","57/46",4.2,4,"slate","crony","dumpy",,,
"9/3/2023","stale","torch",,,"await",4,"89/81","48/59",3.9,3,"slate","print",,,,
"9/2/2023","reset","laugh",,,"onion",4,"95/85","38/49",3.9,4,"slate","crony","built",,,
"9/1/2023","snail","spate",,,"space",3,"83/83","73/64",3.5,3,"slate","parch",,,,
"8/31/2023","storm","crane",,,"bride",4,"80/83","47/56",3.9,4,"slate","groin","dumps",,,
"8/30/2023","adieu","audio",,,"audio",2,"99/82","86/60",3.6,4,"slate","corny","adobo",,,
"8/29/2023","least","range",,,"caper",6,"61/77","40/58",4,4,"slate","ramen",,,,
"8/28/2023","range","crust",,,"write",3,"85/81","58/66",3.5,3,"slate","turbo",,,,
"8/27/2023","stare","clamp",,,"peace",3,"93/85","72/61",3.8,3,"slate","prick",,,,
"8/26/2023","stone","cairn",,,"choir",3,"85/86","72/61",3.4,3,"slate","crony","choir",,,
"8/25/2023","stare","panel",,,"ocean",4,"97/83","43/62",3.7,4,"slate","ramen","began",,,
"8/24/2023","strep","ouija",,,"worry",4,"81/85","54/47",4.1,4,"slate","crony","dowry",,,
"8/23/2023","adieu","wrote",,,"verve",5,"92/79","36/38",5.1,4,"slate","groin","puree",,,
"8/22/2023","steal","heron",,,"spice",4,"96/83","46/58",3.9,3,"slate","chirp",,,,
"8/21/2023","aegis","brand",,,"beach",3,"92/83","74/62",3.5,3,"slate","derby",,,,
"8/20/2023","aegis","storm",,,"quest",4,"97/83","53/57",3.9,4,"slate","height","guest",,,
"8/19/2023","eland","stray",,,"magma",6,"81/81","21/37",4.9,4,"slate","corny","mafia",,,
"8/18/2023","adios","rangy",,,"exact",5,"86/85","28/57",3.8,3,"slate","enact",,,,
"8/17/2023","slate","cairn",,,"amiss",3,"91/75","59/63",3.9,3,"slate","oasis",,,,
"8/15/2023","adieu","cairn",,,"index",3,"89/79","74/53",4.2,3,"slate","diner",,,,
"8/14/2023","adieu","snark",,,"snack",3,"91/82","52/55",4.1,3,"slate","chunk",,,,
"8/13/2023","adieu","carts",,,"wrath",3,"97/82","51/72",3.3,2,"slate","wrath",,,,
"8/12/2023","adieu","unify",,,"quick",4,"90/85","58/48",3.9,3,"slate","crony",,,,
"8/11/2023","adieu","orate",,,"hello",4,"87/80","38/54",4,3,"slate","riven",,,,
"8/10/2023","store","teach",,,"empty",4,"89/82","47/57",3.8,3,"slate","teeth",,,,
"8/8/2023","adieu","strum",,,"bully",3,"80/81","41/45",4.3,4,"slate","dilly","forge",,,
"8/7/2023","slate","round",,,"brook",5,"88/84","27/40",4.7,5,"slate","crony","plumb","brood",,
"8/6/2023","adieu","storm",,,"polyp",5,"92/80","30/48",4.3,4,"slate","dilly","nylon",,,
"8/5/2023","opera","above",,,"anode",4,"96/81","50/62",3.8,3,"slate","cairn",,,,
"8/4/2023","slate","trout",,,"chart",4,"88//85","57/67",3.2,3,"slate","print",,,,
"8/3/2023","opera","grasp",,,"party",4,"79/85","58/66",3.2,3,"slate","rainy",,,,
"8/2/2023","stale","inert",,,"beget",3,"76/80","51/47",4.5,4,"slate","tenet","beret",,,
"8/1/2023","opera","inlet",,,"tenth",3,"96/82","62/58",3.9,3,"slate","teeth","tenth",,,
"7/31/2023","stale","style",,,"style",2,"99/84","86/68",3.4,2,"slate","style",,,,
"7/30/2023","train","louse",,,"bathe",3,"92/82","69/64",3.6,2,"slate","bathe",,,,
"7/29/2023","slate","dilly",,,"curly",3,"92/85","47/54",3.9,4,"slate","dilly","wryly",,,
"7/28/2023","heart","chews",,,"ethos",3,"91/75","78/69",3.7,3,"slate","heist",,,,
"7/27/2023","crane","stoic",,,"disco",3,"93/78","70/63",3.8,3,"slate","croup",,,,
"7/26/2023","slate","enact",,,"heart",3,"99/86","58/71",3.2,3,"slate","enact",,,
"7/25/2023","slate","loner",,,"wheel",4,"88/82","44/50",4,4,"slate","riven","bowel",,,
"7/24/2023","later","shown",,,"hobby",4,"94/79","40/40",4.5,4,"slate","crony","badge",,,
"7/23/2023","adieu","stare",,,"whale",3,"80/84","54/66",3.3,3,"slate","leave",,,,
"7/22/2023","lieus","atone",,,"froze",5,"58/78","40/43",4.9,4,"slate","groin","baldy",,,
"7/21/2023","strap","incel",,,"burly",3,"73/84","69/50",4.1,5,"slate","dilly","wryly","curly",,
"7/20/2023","stain","ounce",,,"flank",6,"78/85","40/49",4.3,4,"slate","prick","blank",,,
"7/19/2023","stare","couth",,,"tonic",3,"96/87","62/57",3.7,4,"slate","count","notch",,,
"7/18/2023","snare","relet",,,"flyer",7,"48/79","27/51",4.3,4,"slate","defer","flier",,,
"7/17/2023","slate","round",,,"droop",3,"99/84","54/52",3.9,4,"slate","crony","plumb",,,
"7/16/2023","slant","tried",,,"topaz",4,"86/81","51/57",3.9,4,"slate","tarot","today",,,
"7/15/2023","stare","rough",,,,5,"85/83","45/57",4,5,"slate","groine","drone","prone",,
"7/14/2023","crane","steno",,,"upend",4,"90/82","56/58",3.7,3,"slate","diner",,,,
"7/13/2023","adios","ranty",,,"barge",5,"89/81","35/59",3.9,3,"slate","cairn",,,,
"7/12/2023","adieu","shirt",,,"whirl",4,"95/83","53/57",3.8,4,"slate","dilly","logic",,,
"7/10/2023","slate","churn",,,"folly",5,"64/75","31/41",4.7,4,"slate","dilly","befog",,,
"7/9/2023","adieu","storm",,,"enter",4,"85/82","52/53",4,4,"slate","titer","mound",,,
"7/8/2023","slate","round",,,"cower",4,"82/72","47/47",4.9,4,"slate","diner","whomp",,,
"7/7/2023","adieu","doubt",,,"donut",3,"91/87","83/62",3.4,3,"slate","count",,,,
"7/6/2023","slate","odium",,,"windy",4,"92/84","43/48",3.9,4,"slate","crony","dumps",,,
"7/5/2023","crate","sling",,,"venom",4,"86/82","44/49",4.1,4,"slate","diner","xenon",,,
"7/4/2023","crest","dance",,,"irate",3,"69/83","80/67",3.7,3,"slate","cargo",,,,
"7/3/2023","least","utile",,,"hotel",4,"85/83","51/60",3.6,3,"slate","intel",,,,
"7/2/2023","strep","adios",,,"mossy",5,"91/84","41/49",4.2,4,"slate","croup","bison",,,
"7/1/2023","strap","odium",,,"bleep",4,"76/82","63/54",4,3,"slate","defer",,,,
"6/30/2023","adieu","roast",,,"straw",5,"98/86","35/57",3.9,3,"slate","pricy",,,,
"6/28/2023","least","giant",,,"tract",5,"87/85","36/58",3.9,4,"slate","print","craft",,,
"6/27/2023","storm","antic",,,"about",3,"56/84","78/62",3.5,4,"slate","tarot","adopt",,,
"6/26/2023","storm","least",,,"guest",4,"99/84","45/56",3.9,3,"slate","heist",,,,
"6/25/2023","strip","crane",,,"rodeo",4,"95/77","42/55",4.1,4,"slate","diner","befog",,,
"6/24/2023","crane","prank",,,"grand",4,"86/85","51/57",3.8,3,"slate","churn",,,,
"6/23/2023","later","shunt",,,"covet",3,"86/83","60/52",4.1,3,"slate","titer",,,,
"6/22/2023","stale","taste",,,"taste",2,"62/73","92/61",4.2,3,"slate","twerp",,,,
"6/21/2023","slate","phony",,,"crane",4,"82/81","59/67",3.4,5,"slate","prick","crave","craze",,
"6/20/2023","stale","trust",,,"frost",4,"96/83","46/65",3.5,3,"slate","trout",,,,
"6/19/2023","lance","storm",,,"kazoo",4,"95/75","49/38",5.1,4,"slate","corny","amigo",,,
"6/18/2023","slate","doily",,,"shyly",4,"92/82","48/50",4.2,4,"slate","krill","scold",,,
"6/17/2023","strop","learn",,,"ranch",4,"92/84","47/60",3.5,3,"slate","corny","ranch",,,
"6/16/2023","slate","ratio",,,"strap",4,"91/85","54/64",3.5,3,"slate","pricey",,,,
"6/15/2023","roast","alien",,,"maybe",5,"84/77","34/53",4.3,4,"slate","cairn","gauge",,,
"6/14/2023","slate","round",,,"crime",5,"94/82","24/59",3.6,4,"slate","groin","dumps",,,
"6/13/2023","adieu","roust",,,"plunk",5,"94/86","30/50",4.1,4,"slate","cumin","flung",,,
"6/12/2023","adios","trope",,,"wrong",3,"85/86","59/51",3.8,3,"slate","crony",,,,
"6/11/2023","snail","route",,,"guard",4,"97/82","52/57",3.9,3,"slate","churn",,,,
"6/10/2023","adios","tinct",,,"again",4,"87/83","54/58",3.9,3,"slate","churn",,,,
"6/9/2023","slate","nasal",,,"balsa",3,"99/77","66/53",4.3,3,"slate","nasal","balsa",,,
"6/8/2023","slate","round",,,"crumb",3,"98/85","53/55",3.7,3,"slate","crony",,,,
"6/7/2023","storm","adieu",,,"hater",6,"66/67","42/56",4.6,4,"slate","treed","watch",,,
"6/6/2023","storm","slope",,,"scout",6,"76/83","42/56",4,4,"slate","pinot",,,,
"6/5/2023","slate","adieu",,,"ennui",4,"85/77","45/53",4.3,3,"slate","diner",,,,
"6/4/2023","lance","steam",,,"beast",4,"94/82","50/65",3.6,2,"slate","beast",,,,
"6/3/2023","least","round",,,"nanny",4,"96/79","47/38",5.1,3,"slate","corny",,,,
"6/2/2023","slate","round",,,"humid",3,"99/85","54/52",3.8,4,"slate","crony","vivid",,,
"6/1/2023","lance","roust",,,"jazzy",5,"69/75","35/29",5.4,5,"slate","corny","debug","happy",,
"5/31/2023","lance","roust",,,"agile",4,"77/80","60/64",3.8,3,"slate","bangs",,,,
"5/30/2023","slate","liver",,,"kneel",3,"86/81","49/49",4.3,3,"slate","riven",,,,
"5/29/2023","lance","storm",,,"mouse",3,"96/80","61/57",3.7,3,"slate","rough",,,,
"5/28/2023","slate","round",,,"skimp",3,"89/82","54/52",4.1,3,"slate","unhip",,,,
"5/27/2023","lance","raven",,,"ramen",3,"86/78","84/57",4.1,4,"slate","armed","gamer",,,
"5/26/2023","stale","croup",,,"swine",4,"96/85","44/51",4.2,3,"slate","chirp",,,,
"5/25/2023","lance","early",,,"bagel",4,"89/79","51/53",4.2,3,"slate","rangy",,,,
"5/24/2023","slate","inter",,,"utter",4,"95/82","41/53",4.2,3,"slate","titer",,,,
"5/23/2023","storm","lance",,,"clerk",3,"93/81","76/64",3.6,3,"slate","eider",,,,
"5/22/2023","later","sonic",,,"igloo",3,"96/81","56/51",4.1,4,"slate","dilly","folio",,,
"5/21/2023","adieu",,,,"brash",4,"91/82","47/61",3.7,3,"slate","curbs",,,,
"5/20/2023","slate",,,,"flask",3,"85/81","64/57",3.8,3,"slate","chips",,,,
"5/19/2023","adieu",,,,"grief",4,"83/82","54/53",4,4,"slate","diner","brief",,,
"5/18/2023","store",,,,"shorn",4,"99/88","48/55",3.9,3,"slate","unhip",,,,
"5/17/2023","slate",,,,"plank",4,"75/85","57/58",3.7,3,"slate","prick",,,,
"5/16/2023","later",,,,"latte",3,"99/86","65/69",3.5,2,"slate",,,,,
"5/15/2023","later",,,,"canoe",4,"83/82","63/65",3.6,3,"slate","cairn",,,,
"5/14/2023","later",,,,"scary",5,"89/80","41/56",4.2,4,"slate","chunk","scary",,,
"5/13/2023","strop",,,,"acrid",3,"87/83","78/62",3.6,4,"slate","corny","march",,,
"5/12/2023","slate",,,,"snack",4,"86/83","47/58",3.7,4,"slate","chunk",,,,
"5/11/2023","later",,,,"broom",5,"92/83","27/44",4.4,4,"slate","crony","plumb",,,
"5/10/2023","adieu",,,,"ethic",4,"96/80","49/61",3.8,4,"slate","titer","edict",,,
"5/9/2023","adios",,,,"cocoa",3,91,,4.4,3,"slate","corny",,,,
"5/8/2023","slate",,,,"aglow",4,,,4.2,4,"slate","rally","polka",,,
"5/7/2023","adieu",,,,"ghoul",3,,,3.6,4,"slate","dilly","prowl",,,
"5/6/2023","noise",,,,"anger",3,,,3.9,3,"slate","armed","anger",,,
"5/5/2023","slate",,,,"below",4,,,4,4,"slate","riven","cello",,,
"5/4/2023","store",,,,"guppy",5,,,4.6,5,,"crony","dumpy","puppy",,
"5/3/2023","adieu",,,,"horde",3,,,3.8,4,"slate","groin","force",,,
"5/2/2023","adore",,,,"sulky",4,,,4.1,3,"slate","krill",,,,
"5/1/2023","slate",,,,"range",3,,,3.5,3,"slate","cairn",,,,
"4/30/2023","slate",,,,"plaza",5,,,4.4,3,"slate","prick",,,,
"4/29/2023","adieu",,,,"cedar",3,,,3.6,3,"slate","armed",,,,
"4/28/2023","slate",,,,"circa",4,,,4.1,3,"slate","corny",,,,
"4/27/2023","slate",,,,"logic",3,,,3.9,3,"slate","dilly",,,,
"4/26/2023","slate",,,,"metro",5,,,4,3,"slate","titer",,,,
"4/25/2023","stale",,,,"joker",6,,,5.4,6,"slate",,,,,
"4/24/2023","slate",,,,"ditto",4,,,3.9,3,"slate","rhino",,,,
"4/23/2023","slate",,,,"unzip",4,,,4.4,3,"slate","crony",,,,
"4/22/2023","slate",,,,"broke",4,,,4.1,5,"slate","groin","paved","froze",,
"4/21/2023","slate",,,,"kayak",4,,,4.4,3,"slate","corny",,,,
"4/20/23","slate",,,,"plate",2,,,2.9,2,"slate",,,,,
"4/19/23","slate",,,,"thump",3,,,3.8,4,"slate","count","trump",,,
"4/18/2023","slate",,,,"hound",6,,,4.7,5,"slate","crony","bowed","chimp",,
"4/17/2023","slate",,,,"whiff",4,,,4.3,4,"slate","crony","vivid",,,
"4/16/2023","slate",,,,"dwelt",3,,,4.3,3,"slate","intel",,,,
"4/15/2023","slate",,,,"agony",3,,,3.9,3,"slate","corny",,,,
"4/14/2023","slate",,,,"thief",4,,,3.6,3,"slate","titer",,,,
"4/13/2023","slate",,,,"carat",3,,,,3,"slate",,,,,
"4/12/2023","slate",,,,"borax",5,,,4.6,3,"slate","corny",,,,
"4/11/2023","slate",,,,"qualm",4,,,4.1,3,"slate","brick",,,,
"4/10/2023","stale",,,,"under",3,,,3.9,3,"slate","green",,,,
"4/9/2023","slate",,,,"snafu",3,,,4.2,3,"slate","crank",,,,
"4/8/2023","slate",,,,"ledge",4,,,4.2,3,"slate","build","lodge",,,
"4/7/2023","slate",,,,"locus",3,,,4,3,"slate","lousy",,,,
"4/6/2023","slate",,,,"leafy",4,,,4.2,3,"slate","learn","leaky",,,
"4/5/2023","slate",,,,"smash",3,,,4.1,3,"slate","sharp",,,,
"4/4/2023","slate",,,,"ratio",4,,,3.5,3,"slate","horny","gator",,,
"4/3/2023","slate",,,,"flora",3,,,3.7,3,,"churn",,,,
"4/2/2023","slate",,,,"stock",4,,,3.8,4,,,,,,
"4/1/2023","stare",,,,"march",3,,,3.7,3,,,,,,
"3/31/2023","stale",,,,"every",4,,,4.4,4,"slate",,,,,
"3/30/2023","least",,,,"bread",4,,,3.7,3,"slate",,,,,
"3/29/2023","slate",,,,"beset",4,,,4.1,4,"slate",,,,,
"3/28/2023","slate",,,,"hurry",6,,,4.2,5,"slate",,,,,
"3/27/2023","slate",,,,"guano",3,,,4,3,"slate",,,,,
"3/26/2023","slate",,,,"untie",3,,,3.6,4,"slate",,,,,
"3/25/2023","slate",,,,"voter",5,,,4.1,4,"slate",,,,,
"3/24/2023","slate",,,,"grout",4,,,3.8,4,"slate",,,,,
"3/23/2023","slate",,,,"staid",6,,,3.8,3,,,,,,
"3/22/2023","steal",,,,"duvet",5,,,4,4,"slate","annoyed",,,,
"3/21/2023","least",,,,"tough",5,,,3.7,3,"slate",,,,,
"3/20/2023","slate",,,,"glove",3,,,4.1,4,"slate",,,,,
"3/16/2023","slate",,,,"cider",4,,,4.3,4,"slate",,,,,
"3/15/2023","later",,,,"sweep",4,,,4.2,3,"slate",,,,,
"3/14/2023","later",,,,"surly",4,,,3.7,3,"slate",,,,,
"3/12/2023","stale",,,,"birth",5,,,4,3,"slate",,,,,
"3/11/2023","stale",,,,"email",3,,,3.6,,,,,,,
"3/10/2023","stale",,,,"revel",4,,,4.3,3,"slate",,,,,
"3/9/2023","aisle",,,,"where",4,,,3.9,4,"slate",,,,,
"3/8/2023","scour",,,,"regal",4,,,4,3,"slate",,,,,
"3/7/2023","aisle",,,,"horse",3,,,3.6,4,"slate",,,,,
"3/6/2023","aisle",,,,"pinky",4,,,4.1,5,"slate",,,,,
"3/5/2023","slate",,,,"toxic",5,,,4.1,4,"slate",,,,,
"3/4/2023","least",,,,"trend",3,,,3.3,4,"slate",,,,,
"3/3/2023","snort",,,,"squat",3,,,3.8,3,"slate",,,,,
"2/28/2023","stale",,,,"polka",4,,,4.1,3,"slate",,,,,
"2/26/2023","later",,,,"syrup",6,,,3.8,3,"slate",,,,,
"2/25/2023","least",,,,"fifty",5,,,4.5,4,"slate",,,,,
"2/24/2023","steal",,,,"arbor",5,,,4.3,4,"slate",,,,,
"2/23/2023","round",,,,"vague",3,,,4.2,4,"slate",,,,,
"2/22/2023","aisle",,,,"riper",6,,,5.4,4,"slate",,,,,
"2/21/2023","aisle",,,,"ruddy",3,,,4.3,5,"slate",,,,,
"2/20/2023","aisle",,,,"sweat",3,,,3.4,3,"slate",,,,,
"2/19/2023","later",,,,"kiosk",3,,,4,3,"slate",,,,,
"2/18/2023","aisle",,,,"avail",3,,,4.2,4,"slate",,,,,
"2/17/2023","aisle",,,,"cache",4,,,3.9,3,"slate",,,,,
"2/16/2023","aisle",,,,"magic",3,,,3.9,3,"slate",,,,,
"2/15/2023","later",,,,"salsa",4,,,4.1,3,"slate",,,,,
"2/14/2023","aisle",,,,"sound",3,,,3.6,3,"slate",,,,,
"2/13/2023","later",,,,"usage",4,,,3.7,3,"slate",,,,,
"2/12/2023","aisle",,,,"giant",3,,,3.6,3,"slate",,,,,
"2/11/2023","aisle",,,,"debut",4,,,4.3,4,"slate",,,,,
"2/10/2023","round",,,,"heady",4,,,4,3,"slate",,,,,
"2/9/2023","round",,,,"stage",3,,,4,3,"slate",,,,,
"2/8/2023","round",,,,"flail",3,,,4.2,3,"slate",,,,,
"2/7/2023","adios",,,,"apple",4,,,3.8,4,"slate",,,,,
"2/6/2023","slate",,,,"ninth",3,,,4.2,3,"slate",,,,,
"2/5/2023","slate",,,,"dance",3,,,3.4,3,"slate",,,,,
"2/4/2023","aline",,,,"unlit",2,,,3.9,3,"slate",,,,,
"2/3/2023","aline",,,,"tasty",4,,,4,3,"slate",,,,,
"2/2/2023","trail",,,,"shirk",4,,,3.7,4,"slate",,,,,
"2/1/2023","crane",,,,"scold",3,,,3.6,3,"slate",,,,,
"1/31/2023","roust",,,,"cross",3,,,4,3,"slate",,,,,
"1/29/2023","aline",,,,"fishy",3,,,3.9,4,"slate",,,,,
"1/28/2023","strop",,,,"flirt",3,,,3.5,3,"slate",,,,,
"1/27/2023","aline",,,,"worry",4,,,4.3,4,"slate",,,,,
"1/26/2023","trail",,,,"beefy",4,,,4.5,5,"slate",,,,,
"1/25/2023","least",,,,"maize",4,,,4.3,3,"slate",,,,,
"1/24/2023","wrest",,,,"count",3,,,3.6,2,"slate",,,,,
"1/23/2023","adios",,,,"elude",4,,,4.2,3,"slate",,,,,
"1/22/2023","later",,,,"matey",3,,,4.3,4,"slate",,,,,
"1/21/2023","trail",,,,"blurb",3,,,4.1,4,"slate",,,,,
"1/20/2023","stale",,,,"alter",3,,,3.5,3,,,,,,
"1/19/2023","crane",,,,"mucky",5,,,4.4,5,,,,,,
"1/18/2023","stare",,,,"chard",4,,,4,4,,,,,,
"1/17/2023","storm",,,,"adopt",4,,,3.7,3,,,,,,
"1/16/2023","trail",,,,"frock",3,,,4,3,,,,,,
"1/15/2023","least",,,,"spire",4,,,3.5,4,,,,,,
"1/14/2023","stale",,,,"koala",3,,,4.1,3,,,,,,
"1/13/2023","store",,,,"human",3,,,3.8,4,,,,,,
"1/12/2023","stale",,,,"leapt",2,,,3.6,2,,,,,,
"1/11/2023","trail",,,,"sedan",4,,,3.5,,,,,,,
"1/10/2023","trail",,,,"grimy",5,,,4,,,,,,,
"1/9/2023","trail",,,,"pixie",3,,,4.4,,,,,,,
"1/8/2023","slate",,,,"opera",4,,,3.7,,,,,,,
"1/7/2023","later",,,,"lemon",3,,,3.8,,,,,,,
"1/6/2023","ounce",,,,"belie",3,,,4.3,,,,,,,
"1/5/2023","slate",,,,"sleek",3,,,3.8,,,,,,,
